id,name,category,description,sku,weight_or_size,packaging,nutrition,ingredients,image_thumbnail,product_url,innovative_flag
241,Feta White Cheese - Full Fat 200g,Dairy (Milk and Cheese),Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,200g,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),/sites/default/files/styles/item_sm/public/2024-06/Feta%20200g%20-2-%20FF%20Eyad.png,/index.php/en/products/241,False
243,Feta White Cheese - Low Fat 200g,Dairy (Milk and Cheese),Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,200g,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),/sites/default/files/styles/item_sm/public/2024-06/Feta%20200g%20-2-%20LF%20Eyad.png,/index.php/en/products/243,False
242,Feta White Cheese - Low Fat 450g,Dairy (Milk and Cheese),Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,450g,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),/sites/default/files/styles/item_sm/public/2024-06/Feta%20450g%20LF%20-%20Eyad.png,/index.php/en/products/242,False
233,Ayran Laban Drink 1.75L,Dairy (Milk and Cheese),Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,1.75L,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),/sites/default/files/styles/item_sm/public/2024-06/Ayran%201.75L%20-%20AR%20Eyad.png,/index.php/en/products/233,True
268,Burger Cheese Slices 200g,Dairy (Milk and Cheese),Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,200g,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),/sites/default/files/styles/item_sm/public/2024-06/Burger%20200g%20-%20Eyad.png,/index.php/en/products/268,False
265,Burger Cheese Slices 400g,Dairy (Milk and Cheese),Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,400g,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),/sites/default/files/styles/item_sm/public/2024-06/Burger%20400g%20-%20Eyad.png,/index.php/en/products/265,False
319,Cheddar Cheese 500g,Dairy (Milk and Cheese),Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,500g,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),/sites/default/files/styles/item_sm/public/2024-06/jar%20-%20500%20-%20CHEDDAR%20-%20Eyad.png,/index.php/en/products/319,False
273,Cooking Cream 125ml,Dairy (Milk and Cheese),Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,125ml,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),/sites/default/files/styles/item_sm/public/2024-06/Cooking%20Cream%20Ar%202-%20120ml%20-%20Eyad%20.png,/index.php/en/products/273,False
271,Cooking Cream 1L,Dairy (Milk and Cheese),Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,1L,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),/sites/default/files/styles/item_sm/public/2024-06/Cooking%20Cream%20Ar%20-%20Eyad_1.png,/index.php/en/products/271,False
272,Cooking Cream 500ml,Dairy (Milk and Cheese),Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,500ml,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),/sites/default/files/styles/item_sm/public/2024-06/Cooking%20Cream%20500%20ml%20-%20Front-%20Eyad.png,/index.php/en/products/272,False
